City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,Panzhihua,26.5851,101.7128,66.6,66,67,0.58,CN,2022-04-11 18:23:15
242,Panguipulli,-39.6333,-72.3333,46.0,98,100,1.5,CL,2022-04-11 18:23:16
243,Saint-Pierre,-21.3393,55.4781,76.91,88,75,20.71,RE,2022-04-11 18:23:16
244,Augusto Correa,-1.0217,-46.635,82.47,80,95,5.57,BR,2022-04-11 18:23:16
245,Edeia,-17.3383,-49.9314,87.67,48,38,5.14,BR,2022-04-11 18:23:17
246,Moindou,-21.6924,165.677,75.15,86,30,3.09,NC,2022-04-11 18:23:17
247,Kruisfontein,-34.0033,24.7314,70.88,80,24,8.43,ZA,2022-04-11 18:23:18
248,Cherskiy,68.75,161.3,-18.87,98,78,6.44,RU,2022-04-11 18:23:18
249,Lesozavodsk,45.4794,133.4244,44.01,93,100,10.36,RU,2022-04-11 18:19:08
250,Brigham City,41.5102,-112.0155,52.36,35,100,5.99,US,2022-04-11 18:19:14
251,Bone,51.9669,12.1396,48.97,48,18,3.33,DE,2022-04-11 18:23:19
252,Dombasle-Sur-Meurthe,48.6252,6.3497,60.31,52,0,8.05,FR,2022-04-11 18:23:20
253,Prainha,-1.8,-53.48,84.97,71,85,3.44,BR,2022-04-11 18:23:20
254,Cabedelo,-6.9811,-34.8339,84.87,65,100,9.28,BR,2022-04-11 18:23:20
255,Port Elizabeth,-33.918,25.5701,73.09,85,0,11.5,ZA,2022-04-11 18:23:21
256,Goundam,16.4145,-3.6708,98.76,6,16,5.77,ML,2022-04-11 18:23:21
257,Ouallam,14.3188,2.0866,101.3,15,55,3.62,NE,2022-04-11 18:23:22
258,Charleston,32.7766,-79.9309,82.2,38,0,12.66,US,2022-04-11 18:18:53
259,Obo,5.3998,26.4869,73.09,69,100,4.0,CF,2022-04-11 18:23:22
260,Ortakoy,38.7373,34.0387,41.25,84,83,15.39,TR,2022-04-11 18:23:23
261,Matara,5.9485,80.5353,78.31,88,96,3.74,LK,2022-04-11 18:23:23
262,Funtua,11.5233,7.3081,91.78,14,91,6.46,NG,2022-04-11 18:23:24
263,Grindavik,63.8424,-22.4338,44.55,65,0,20.71,IS,2022-04-11 18:23:24
264,Cosala,24.4125,-106.6908,87.73,29,98,3.38,MX,2022-04-11 18:23:25
265,Shaunavon,49.6501,-108.4181,30.51,36,100,16.11,CA,2022-04-11 18:23:25
266,Centralia,46.7162,-122.9543,49.06,86,0,4.61,US,2022-04-11 18:23:26
267,Ustka,54.5805,16.8619,38.59,81,8,11.39,PL,2022-04-11 18:23:26
268,Verkhoyansk,67.5447,133.385,-10.16,100,80,1.97,RU,2022-04-11 18:24:27
269,Bonthe,7.5264,-12.505,82.65,72,91,10.38,SL,2022-04-11 18:24:27
270,Kalmunai,7.4167,81.8167,79.72,81,98,3.42,LK,2022-04-11 18:24:28
271,Rio Cuarto,-33.1307,-64.3499,56.97,88,75,11.5,AR,2022-04-11 18:20:18
272,Ponta Delgada,37.7333,-25.6667,61.52,88,75,17.27,PT,2022-04-11 18:24:28
273,Bartica,6.4,-58.6167,88.12,66,90,6.42,GY,2022-04-11 18:24:29
